V1,V2
4,Afghanistan
8,Albania
12,Algeria
20,Andorra
24,Angola
660,Anguilla
10,Antarctica
32,Argentina
51,Armenia
533,Aruba
36,Australia
40,Austria
31,Azerbaijan
44,Bahamas
48,Bahrain
50,Bangladesh
52,Barbados
112,Belarus
56,Belgium
58,Belgium-Luxembourg
84,Belize
204,Benin
60,Bermuda
64,Bhutan
68,Bolivia
535,Bonaire
70,Bosnia Herzegovina
72,Botswana
76,Brazil
96,Brunei Darussalam
100,Bulgaria
837,Bunkers
854,Burkina Faso
108,Burundi
116,Cambodia
120,Cameroon
124,Canada
140,Central African Rep.
148,Chad
152,Chile
156,China
344,Hong Kong
446,Macao
170,Colombia
174,Comoros
178,Congo
188,Costa Rica
384,Cote de voire
191,Croatia
192,Cuba
196,Cyprus
203,Czechia
200,Czechoslovakia
408,North Korea
180,Congo Democratic
208,Denmark
262,Djibouti
212,Dominica
214,Dominican Rep.
218,Ecuador
818,Egypt
222,El Salvador
226,Equatorial Guinea
232,Eritrea
233,Estonia
231,Ethiopia
242,Fiji
246,Finland
251,France
266,Gabon
270,Gambia
268,Georgia
276,Germany
288,Ghana
292,Gibraltar
300,Greece
304,Greenland
308,Grenada
312,Guadeloupe
316,Guam
320,Guatemala
324,Guinea
624,Guinea-Bissau
328,Guyana
332,Haiti
340,Honduras
348,Hungary
352,Iceland
699,India
360,Indonesia
364,Iran
368,Iraq
372,Ireland
376,Israel
381,Italy
388,Jamaica
392,Japan
400,Jordan
398,Kazakhstan
404,Kenya
296,Kiribati
414,Kuwait
417,Kyrgyzstan
418,Laos
428,Latvia
422,Lebanon
426,Lesotho
430,Liberia
434,Libya
440,Lithuania
442,Luxembourg
450,Madagascar
454,Malawi
458,Malaysia
462,Maldives
466,Mali
470,Malta
474,Martinique
478,Mauritania
480,Mauritius
175,Mayotte
484,Mexico
496,Mongolia
499,Montenegro
500,Montserrat
504,Morocco
508,Mozambique
104,Myanmar
516,Namibia
520,Nauru
524,Nepal
528,Netherlands
554,New Zealand
558,Nicaragua
562,Niger
566,Nigeria
579,Norway
512,Oman
586,Pakistan
585,Palau
591,Panama
600,Paraguay
604,Peru
608,Philippines
612,Pitcairn
616,Poland
620,Portugal
634,Qatar
410,South Korea
498,Moldova
642,Romania
643,Russia
646,Rwanda
882,Samoa
682,Saudi Arabia
686,Senegal
688,Serbia
891,Serbia and Montenegro
690,Seychelles
694,Sierra Leone
702,Singapore
703,Slovakia
705,Slovenia
706,Somalia
710,South Africa
728,South Sudan
724,Spain
144,Sri Lanka
275,State of Palestine
729,Sudan
740,Suriname
748,Swaziland
752,Sweden
757,Switzerland
760,Syria
762,Tajikistan
807,Macedonia
764,Thailand
626,Timor-Leste
768,Togo
772,Tokelau
776,Tonga
780,Trinidad and Tobago
788,Tunisia
792,Turkey
795,Turkmenistan
798,Tuvalu
800,Uganda
804,Ukraine
784,UAE
826,United Kingdom
834,Tanzania
858,Uruguay
842,USA
860,Uzbekistan
548,Vanuatu
862,Venezuela
704,Vietnam
732,Western Sahara
887,Yemen
894,Zambia
716,Zimbabwe
